AccX,AccY,AccZ
-6.1076,4.1659,-7.7141
-7.1036,3.6416,-7.1012
-6.9743,3.814,-7.2544
-6.8139,3.8451,-7.4723
-6.9025,3.814,-7.3598
-6.2944,4.0701,-7.6734
-6.7732,4.2401,-7.3191
-6.6295,4.1994,-7.5082
-6.7852,4.2329,-7.0916
-6.7014,4.1276,-7.3813
-6.5218,4.1324,-7.2903
-7.2042,3.2848,-7.513
-7.3574,3.0526,-7.2568
-7.1395,3.0646,-7.2999
-7.1682,3.1484,-7.3095
-7.2449,2.9257,-7.0892
