AccX,AccY,AccZ,anomaly probability,safe probability
-5.0542,1.7238,-9.3494,0.012678949367419201,0.9873210506325808
-9.4978,0.5938,-4.6615,0.00039765398023938747,0.9996023460197606
-9.9958,0.5602,-2.5019,0.0006582606333264129,0.9993417393666736
-9.5529,2.083,-4.2401,0.00024117978560944664,0.9997588202143906
-9.2057,1.4222,-2.9521,0.0004960317028547268,0.9995039682971453
-10.0844,0.8882,-2.2362,0.0005441714671023945,0.9994558285328976
-9.8737,0.9194,-2.6121,0.0004982832802538084,0.9995017167197462
-9.8689,0.9457,-1.4724,0.0007111793492333707,0.9992888206507666
-9.9814,0.7159,-0.972,0.0008628628759097534,0.9991371371240902
-10.1347,1.4293,-1.9537,0.0004619132472892806,0.9995380867527107
-10.5321,1.3384,-1.9728,0.0004116820385149378,0.9995883179614851
-10.2639,2.0016,-0.565,0.0005742111378544967,0.9994257888621455
-9.3996,2.6863,0.0551,0.0007192167941193484,0.9992807832058807
-9.9192,2.1715,-0.5578,0.0006070083419846828,0.9993929916580153
-9.6558,2.2601,-1.063,0.0005431967733899867,0.99945680322661
-9.6127,1.8771,-1.233,0.0005913891233090274,0.999408610876691
-9.7779,2.1356,-1.2067,0.0005181334411459293,0.9994818665588541
-9.7181,2.4014,-0.4405,0.000624716932180025,0.99937528306782
-9.596,2.1117,-0.328,0.000744367527359513,0.9992556324726405
-9.8497,1.6089,-1.0247,0.0006416744929348406,0.9993583255070652
-9.5026,1.7334,-0.8236,0.000739411101986942,0.9992605888980131
-9.0261,1.8603,0.1939,0.001045732837914648,0.9989542671620854
-10.8936,1.2019,-0.565,0.0006059668590228107,0.9993940331409772
-9.5744,1.2593,-0.5986,0.0009126916188741951,0.9990873083811258
-10.0269,1.2737,-1.0367,0.0006754572943515891,0.9993245427056484
-10.8481,0.6536,-0.8428,0.0006740867376833215,0.9993259132623167
-9.4834,0.577,0.0814,0.0014339152721011272,0.9985660847278989
-10.0963,1.3599,-0.6369,0.0007334106584003797,0.9992665893415996
-9.1626,0.3496,-0.6249,0.0014070954106790712,0.9985929045893209
-10.1371,0.656,-0.1748,0.0010673309478438364,0.9989326690521562
-9.7181,1.719,-1.5227,0.0005498646250841066,0.9994501353749159
-9.6534,2.0662,-1.8316,0.00045161295415374614,0.9995483870458463
-9.6869,1.9561,-1.5203,0.0005140077060321602,0.9994859922939678
-9.9072,1.6185,-1.4054,0.0005554403249888873,0.9994445596750111
-9.6127,1.7071,-2.9784,0.000352277961309877,0.9996477220386901
-10.1371,1.1468,-2.6001,0.0004044725987469855,0.999595527401253
-9.9838,1.5874,-3.0406,0.00031741645377048044,0.9996825835462295
-10.058,1.8172,-2.0638,0.00039723967571292373,0.9996027603242871
-10.1083,1.1875,-1.494,0.0005826319817885395,0.9994173680182115
-9.3853,1.7573,-0.6512,0.0008119647040245592,0.9991880352959754
-10.4794,1.5299,-1.0343,0.0005355320965556576,0.9994644679034443
-9.2967,2.2194,-0.6464,0.0007183103757864018,0.9992816896242136
-9.2512,2.7007,-1.3001,0.0004997333423776285,0.9995002666576224
-10.1969,2.0877,-0.6536,0.0005548720256564055,0.9994451279743436
-9.9431,2.4517,-0.4334,0.0005756488198642717,0.9994243511801357
-10.0389,1.9034,-0.4788,0.0006593311509490718,0.9993406688490509
-9.1818,2.7845,-0.0622,0.0007515281369629978,0.999248471863037
-9.9647,2.2218,-0.6153,0.0005809227831010677,0.9994190772168989
-9.7636,2.6576,-0.7901,0.000506889995168236,0.9994931100048318
-9.4715,2.1045,-0.9792,0.0006307872726957209,0.9993692127273043
-10.4938,1.7837,-0.6464,0.0005579318808125455,0.9994420681191875
-8.8035,3.1412,-0.4046,0.0006756964782032027,0.9993243035217968
-9.1458,3.2226,0.5435,0.0005651677268632138,0.9994348322731368
-9.165,3.0023,0.3543,0.0006434864489400782,0.9993565135510599
-9.3374,3.5147,1.2761,0.0003766836992266098,0.9996233163007734
-9.4379,3.6128,0.1748,0.0005087508013390529,0.999491249198661
-9.4403,3.6128,-0.3208,0.00048049415160422715,0.9995195058483958
-9.4643,3.5506,-0.3352,0.00048435408887015363,0.9995156459111298
-9.6822,3.1795,-1.4293,0.0003540299531842317,0.9996459700468158
-9.9335,3.1029,-1.5562,0.00032020062963467044,0.9996797993703653
-9.4858,3.395,-1.2163,0.0003777071628213724,0.9996222928371786
-10.2568,2.4804,-2.0207,0.0003030769753281648,0.9996969230246718
-9.3709,3.0311,-1.992,0.00034216878324155875,0.9996578312167584
-10.3406,2.4493,-1.2713,0.0003823172909995787,0.9996176827090004
-9.0884,2.7677,-1.8986,0.00042344659867155077,0.9995765534013284
-9.584,2.2098,-1.5969,0.00047806865528732256,0.9995219313447127
-8.8394,2.8611,-2.0016,0.0004309737477349307,0.9995690262522651
-10.2951,2.2769,-0.9313,0.00046050689902343844,0.9995394931009766
-8.8753,2.8706,-1.1349,0.0005666617127975115,0.9994333382872025
-9.5648,2.0901,-0.2298,0.0007896672914906588,0.9992103327085093
-10.2185,2.4038,-0.565,0.0005116939598390768,0.9994883060401609
-9.6175,2.1715,-1.5275,0.0004901522326139496,0.999509847767386
-9.2129,2.2601,-2.0494,0.0004576697092697479,0.9995423302907303
-9.7755,1.2665,0.7566,0.0008165625888999495,0.9991834374111
-9.9335,1.1133,-0.067,0.001020971952572114,0.9989790280474279
-10.2807,2.0518,-0.2514,0.0006257178697319787,0.999374282130268
-9.8019,1.5467,0.0862,0.0009215916400735491,0.9990784083599265
-9.7181,2.0207,0.3376,0.000744242354076996,0.999255757645923
-9.663,2.4229,-1.0798,0.0005155062051040993,0.9994844937948959
-10.0892,2.6145,-1.6161,0.0003509470427441874,0.9996490529572558
-9.5577,2.7318,-1.47,0.0004229906168138342,0.9995770093831862
-9.9144,2.0087,-0.3448,0.0006952674702203065,0.9993047325297797
-9.0214,2.2865,-0.431,0.0008292428825373843,0.9991707571174626
-10.556,1.8818,-1.1732,0.0004444694452191422,0.9995555305547809
-10.2089,1.8555,-1.0151,0.0005305836613285209,0.9994694163386715
-9.1961,2.6097,-0.1269,0.0007774441176422453,0.9992225558823578
-9.9288,3.0765,-0.3998,0.00047605204139156143,0.9995239479586084
-10.0868,1.7358,0.1628,0.0007669016152364039,0.9992330983847636
-9.5936,1.0702,0.6656,0.0009541459382013118,0.9990458540617987
-9.9431,1.7885,0.7853,0.000642441479077438,0.9993575585209226
-10.0461,1.7597,0.486,0.0006924533597788551,0.9993075466402211
-10.2591,1.8507,0.4477,0.0006337889619804082,0.9993662110380196
-9.7013,2.6791,-0.8092,0.0005115217014186602,0.9994884782985813
-9.7707,1.573,0.929,0.000696840158799894,0.9993031598412001
-9.6079,1.0175,1.4222,0.0007510873906482196,0.9992489126093518
-9.7181,2.2338,-0.0622,0.0007567264754315683,0.9992432735245684
-10.2783,1.3815,0.3663,0.0007564669174772165,0.9992435330825228
-9.8019,2.2458,0.9433,0.0005485195839365353,0.9994514804160635
-9.4643,2.0614,1.2905,0.00058140421582209,0.9994185957841779
-9.9383,0.5866,2.2314,0.0005931171062354412,0.9994068828937646
-9.8689,1.9225,-1.3575,0.0005185330343707717,0.9994814669656292
-9.7229,1.8555,-1.5179,0.0005277025322066864,0.9994722974677933
-9.4308,3.1268,-1.9106,0.00033409694615504915,0.999665903053845
-10.0676,3.1364,-0.7159,0.0004010695652186813,0.9995989304347813
-9.6199,1.4988,-1.1516,0.0006948606773181654,0.9993051393226818
-9.8809,1.0726,-1.561,0.0006405769756530066,0.999359423024347
-9.5529,1.5395,-1.2186,0.0006855090455148982,0.9993144909544851
-9.5816,1.4198,-1.1827,0.0007151091709560742,0.9992848908290439
-9.9455,1.652,-1.5251,0.0005231127529372603,0.9994768872470627
-10.3094,1.2833,-1.2761,0.0005692690362834041,0.9994307309637166
-9.5648,1.4054,-1.5395,0.0006416118337874144,0.9993583881662126
-9.845,0.419,-1.3815,0.0008556301999294025,0.9991443698000706
-9.8593,1.1253,-1.6137,0.0006229544632877504,0.9993770455367122
-9.7779,1.3144,-1.3216,0.0006624219177563395,0.9993375780822437
-9.6917,1.2258,-1.9202,0.0005752040648077106,0.9994247959351923
