id,timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngX,AngY,AngZ,unsafe,safety_class
978,2025-12-28T08:18:13.239545,-0.866701,1.613692,-10.26873,-0.022916,0.010392,0.086334,-8.899643,118.2399,8.930777,1,Class 2
979,2025-12-28T08:18:20.381991,-4.13718,0.004788,-9.873688,0.498818,-0.497219,0.366119,-0.025628,179.9337,0.027787,1,Class 2
980,2025-12-28T08:18:27.848488,-5.05416,1.723825,-9.349358,-0.014389,-0.224095,-0.073011,-9.212922,161.167,10.44681,1,Class 2
981,2025-12-28T08:18:35.405927,-9.497798,0.593762,-4.661511,0.116977,0.050361,-0.046364,-3.212116,176.4228,7.258987,1,Class 2
982,2025-12-28T08:18:42.695358,-9.995792,0.560243,-2.501941,0.234487,-0.643507,-0.429271,-3.112143,176.792,12.62166,1,Class 2
983,2025-12-28T08:18:49.786165,-9.552865,2.082955,-4.240131,-0.006662,0.088199,0.018919,-11.27111,167.6995,26.16248,1,Class 2
984,2025-12-28T08:18:59.226674,-9.205706,1.422156,-2.952051,-0.090331,0.059954,0.062352,-8.368623,171.218,25.72253,1,Class 2
985,2025-12-28T08:19:06.787742,-10.08438,0.888249,-2.236184,-0.04743,0.049828,0.092995,-4.914935,174.9663,21.66378,1,Class 2
986,2025-12-28T08:19:13.759927,-9.873688,0.919373,-2.612074,0.02638,-0.036772,0.001066,-5.143719,174.6803,19.39057,1,Class 2
987,2025-12-28T08:19:20.604853,-9.868899,0.94571,-1.472434,-0.458315,-0.206508,-0.16947,-5.414216,174.5262,32.71167,1,Class 2
988,2025-12-28T08:19:27.65414,-9.981427,0.715866,-0.972046,0.010925,0.031975,0.020518,-4.08297,175.8978,36.36991,1,Class 2
989,2025-12-28T08:19:35.304251,-10.13466,1.429338,-1.953669,-0.01279,0.039703,-0.218233,-7.884464,171.9722,36.18986,1,Class 2
990,2025-12-28T08:19:42.236315,-10.53209,1.338359,-1.972822,0.068214,0.098858,-0.108184,-7.119488,172.758,34.15289,1,Class 2
991,2025-12-28T08:19:49.451996,-10.26394,2.001553,-0.565032,0.050095,-0.067149,-0.076208,-11.01838,168.9653,74.2358,1,Class 2
992,2025-12-28T08:19:56.200751,-9.399636,2.686294,0.055067,-0.000799,0.031176,-0.025847,-15.94899,164.0508,91.17435,1,Class 2
993,2025-12-28T08:20:03.801816,-9.919178,2.171541,-0.557849,-0.008527,0.054358,-0.019452,-12.32969,167.6514,75.59277,1,Class 2
994,2025-12-28T08:20:10.807195,-9.655815,2.260126,-1.063026,-0.083669,-0.031443,0.060487,-13.0976,166.826,64.81057,1,Class 2
995,2025-12-28T08:20:17.836889,-9.61272,1.877054,-1.233014,0.013057,0.022116,0.054625,-10.96138,168.951,56.69958,1,Class 2
996,2025-12-28T08:20:24.623783,-9.77792,2.135628,-1.206678,-0.019718,0.022649,0.015721,-12.23072,167.6793,60.53258,1,Class 2
997,2025-12-28T08:20:31.590277,-9.718064,2.401384,-0.440533,-0.027979,0.015455,-0.01732,-13.86634,166.12,79.60469,1,Class 2
998,2025-12-28T08:20:39.440706,-9.595961,2.111686,-0.328006,-0.102055,0.014655,0.003464,-12.40367,167.5893,81.17087,1,Class 2
999,2025-12-28T08:20:46.513302,-9.849746,1.608904,-1.024718,0.001599,0.031975,0.00453,-9.22809,170.723,57.50674,1,Class 2
1000,2025-12-28T08:20:55.366329,-9.502586,1.733402,-0.823605,0.068214,-0.021583,0.070879,-10.30009,169.6621,64.58582,1,Class 2
1001,2025-12-28T08:21:02.252263,-9.02614,1.860295,0.19393,0.041568,-0.058089,0.169204,-11.64303,168.3544,95.95142,1,Class 2
1002,2025-12-28T08:21:09.612569,-10.89362,1.201889,-0.565032,-0.083669,0.033841,-0.115112,-6.287577,173.704,64.82087,1,Class 2
1003,2025-12-28T08:21:16.556539,-9.574412,1.25935,-0.59855,0.028245,0.059954,-0.146554,-7.478829,172.5067,64.57895,1,Class 2
1004,2025-12-28T08:21:23.676572,-10.02692,1.273715,-1.036689,0.001865,-0.063951,-0.207308,-7.201504,172.7605,50.85752,1,Class 2
1005,2025-12-28T08:21:30.998324,-10.84813,0.653617,-0.842759,-0.106851,0.140426,-0.06475,-3.437661,176.552,37.79602,1,Class 2
1006,2025-12-28T08:21:38.093737,-9.483433,0.577003,0.081403,-0.014123,0.031975,0.111115,-3.48164,176.5182,98.03022,1,Class 2
1007,2025-12-28T08:21:45.663113,-10.09635,1.359907,-0.636858,0.124438,0.049828,0.002398,-7.656131,172.3288,64.90584,1,Class 2
1008,2025-12-28T08:21:54.032419,-9.16261,0.349553,-0.624887,-0.119642,-0.19585,0.057289,-2.179715,177.8152,29.22208,1,Class 2
1009,2025-12-28T08:22:04.815329,-10.13705,0.656011,-0.174777,-0.038904,0.028245,0.037305,-3.70214,176.2973,75.0816,1,Class 2
1010,2025-12-28T08:22:12.081584,-9.718064,1.719037,-1.522712,-0.114046,0.03917,-0.062352,-9.912825,169.9687,48.46567,1,Class 2
1011,2025-12-28T08:22:20.39684,-9.653421,2.066196,-1.831564,0.035173,0.009859,-0.04823,-11.87548,167.9188,48.44485,1,Class 2
1012,2025-12-28T08:22:28.272239,-9.68694,1.956063,-1.520318,-0.007194,0.016254,0.009326,-11.28161,168.5839,52.14444,1,Class 2
1013,2025-12-28T08:22:35.852039,-9.907207,1.61848,-1.405396,-0.05196,-0.018652,0.012524,-9.187716,170.7219,49.03081,1,Class 2
1014,2025-12-28T08:22:43.184131,-9.61272,1.707066,-2.978387,0.032508,0.045299,-0.031443,-9.627357,169.9302,29.81923,1,Class 2
1015,2025-12-28T08:22:50.504565,-10.13705,1.146823,-2.600103,0.031443,-0.038104,-0.128701,-6.253772,173.5455,23.80075,1,Class 2
1016,2025-12-28T08:22:57.715287,-9.983821,1.587356,-3.040636,-0.062619,0.086067,0.040769,-8.648147,170.966,27.56669,1,Class 2
1017,2025-12-28T08:23:04.737022,-10.05804,1.817199,-2.063802,0.172135,0.054625,-0.233421,-10.0365,169.7588,41.36426,1,Class 2
1018,2025-12-28T08:23:11.876562,-10.10832,1.187524,-1.493982,0.278453,0.086067,-0.111381,-6.629029,173.2996,38.4802,1,Class 2
1019,2025-12-28T08:23:18.909196,-9.385271,1.757344,-0.651223,-0.274456,-0.220098,-0.162009,-10.58067,169.3945,69.66669,1,Class 2
1020,2025-12-28T08:23:26.007493,-10.47942,1.529895,-1.034295,-0.025047,0.089798,0.007194,-8.266351,171.694,55.93909,1,Class 2
1021,2025-12-28T08:23:33.409576,-9.296685,2.219425,-0.646434,0.196649,0.054358,0.099923,-13.3959,166.5729,73.76116,1,Class 2
1022,2025-12-28T08:23:40.881842,-9.251195,2.70066,-1.300052,-0.037038,-0.025314,0.160943,-16.12379,163.7261,64.29462,1,Class 2
1023,2025-12-28T08:23:49.337952,-10.19691,2.087744,-0.653617,-0.049029,0.015988,0.041302,-11.54793,168.429,72.61605,1,Class 2
1024,2025-12-28T08:23:57.317048,-9.94312,2.451663,-0.433351,-0.077008,0.05276,0.120974,-13.83843,166.1489,79.97607,1,Class 2
1025,2025-12-28T08:24:04.452473,-10.03889,1.90339,-0.47884,-0.0866,0.011724,-0.003997,-10.72403,169.2641,75.87901,1,Class 2
1026,2025-12-28T08:24:11.354814,-9.181764,2.784456,-0.062249,-0.118576,0.032242,0.017853,-16.87006,163.1296,88.71931,1,Class 2
1027,2025-12-28T08:24:18.664204,-9.964667,2.221819,-0.61531,-0.027979,0.005596,-0.126836,-12.54648,167.4304,74.52048,1,Class 2
1028,2025-12-28T08:24:26.344698,-9.763555,2.657564,-0.790087,-0.081538,-0.005862,-0.081538,-15.17926,164.7734,73.44292,1,Class 2
1029,2025-12-28T08:24:34.287015,-9.471462,2.104503,-0.979228,-0.005596,0.011991,-0.033308,-12.46294,167.4727,65.04738,1,Class 2
1030,2025-12-28T08:24:40.954471,-10.49379,1.78368,-0.646434,-0.017853,0.070346,-0.142557,-9.628738,170.3533,70.07867,1,Class 2
1031,2025-12-28T08:24:48.572736,-8.803479,3.141193,-0.40462,0.081538,0.011458,0.003198,-19.61792,160.3629,82.66009,1,Class 2
1032,2025-12-28T08:25:04.693954,-9.14585,3.222595,0.543484,-0.033041,0.010925,0.153482,-19.37859,160.5898,99.57273,1,Class 2
1033,2025-12-28T08:25:13.991191,-9.165004,3.002329,0.354342,-0.090064,-0.061819,0.03464,-18.12543,161.8619,96.73104,1,Class 2
1034,2025-12-28T08:25:21.326639,-9.337387,3.514688,1.276109,-0.085534,0.073011,-0.027712,-20.45267,159.3732,109.9549,1,Class 2
1035,2025-12-28T08:25:29.04597,-9.437943,3.61285,0.174777,0.019185,0.038371,0.014922,-20.9436,159.0531,92.7696,1,Class 2
1036,2025-12-28T08:25:38.196748,-9.440337,3.61285,-0.320823,0.007994,0.010925,-0.011458,-20.93099,159.058,84.92542,1,Class 2
1037,2025-12-28T08:25:46.92204,-9.464279,3.550601,-0.335188,-0.014123,0.01732,0.013323,-20.55218,159.436,84.60708,1,Class 2
1038,2025-12-28T08:25:54.391974,-9.682152,3.1795,-1.429338,0.007994,0.022383,-0.00453,-17.99726,161.8205,65.79379,1,Class 2
1039,2025-12-28T08:26:02.07839,-9.933543,3.102885,-1.556231,0.022916,-0.024515,-0.013323,-17.15024,162.6531,63.36426,1,Class 2
1040,2025-12-28T08:26:10.945946,-9.485827,3.394978,-1.216254,-0.002665,0.004263,-0.045832,-19.54455,160.3077,70.28989,1,Class 2
1041,2025-12-28T08:26:18.087536,-10.25676,2.480393,-2.020706,-0.074609,-0.085801,-0.096726,-13.3477,166.4052,50.83126,1,Class 2
