AccX,AccY,AccZ,anomaly probability,safe probability
0.1413,-0.0359,-0.0407,0.0824973866895804,0.9175026133104196
8.8729,-1.9585,-2.4876,0.1777418700150426,0.8222581299849574
9.3398,-1.4557,-3.5506,0.1411491135216547,0.8588508864783453
8.9136,-1.0846,-3.2441,0.16048647970018504,0.839513520299815
9.0836,-1.0774,-3.2705,0.16160625836228204,0.838393741637718
8.8777,-1.0271,-3.2896,0.15024860245176486,0.8497513975482351
8.9471,-0.996,-3.3567,0.14901070249489523,0.8509892975051048
9.1674,-1.0032,-3.5338,0.14843682433794536,0.8515631756620546
8.9639,-0.8284,-3.2346,0.1583729841739061,0.8416270158260939
8.9711,-1.2139,-3.3758,0.13527629143932296,0.864723708560677
8.8705,-1.2905,-3.5602,0.12072948191599231,0.8792705180840077
8.4228,-1.0223,-3.383,0.11974294357942539,0.8802570564205746
8.9112,-1.1468,-3.7134,0.12014696444039474,0.8798530355596053
8.8825,-1.1109,-3.5889,0.12419104557825889,0.8758089544217411
8.8442,-1.1492,-3.6727,0.11796008773438582,0.8820399122656142
8.7101,-1.1372,-3.6248,0.1149936730750396,0.8850063269249604
8.7604,-1.1325,-3.6703,0.11498976776268954,0.8850102322373105
8.7197,-1.1181,-3.6895,0.11320890005558559,0.8867910999444144
8.7053,-1.1133,-3.7876,0.10947563062452725,0.8905243693754727
8.6455,-1.1301,-3.7206,0.10903386532358283,0.8909661346764172
8.8178,-1.0558,-3.8164,0.11391808835581319,0.8860819116441868
8.9304,-1.1612,-3.8475,0.11305191810540882,0.8869480818945912
8.4683,-2.1787,-3.2537,0.08662089845077936,0.9133791015492206
8.5353,-2.6839,-3.4261,0.07180013378844208,0.9281998662115579
8.4803,-2.5115,-3.4237,0.07450249774994866,0.9254975022500513
8.6024,-2.5187,-3.5482,0.07428509110041326,0.9257149088995867
8.509,-2.5307,-3.5051,0.07287861399787143,0.9271213860021286
8.4276,-2.5259,-3.4836,0.07166087848661806,0.9283391215133819
8.4707,-2.6312,-3.6128,0.06754707233321255,0.9324529276667874
7.9966,-2.4301,-3.3519,0.06731238977366583,0.9326876102263342
8.4228,-2.308,-3.6583,0.07257708281338171,0.9274229171866183
8.5377,-2.4684,-3.7206,0.07021848063539937,0.9297815193646006
8.4013,-2.32,-3.7972,0.06884941545157475,0.9311505845484253
8.3677,-2.2458,-3.8188,0.06928121882325777,0.9307187811767422
8.3366,-2.2314,-3.8451,0.06838743126441671,0.9316125687355833
8.3941,-2.1668,-3.96,0.06856540660969124,0.9314345933903088
8.2768,-2.1979,-3.8211,0.06838821278722151,0.9316117872127785
8.5473,-2.0614,-3.9289,0.0750491301642503,0.9249508698357497
8.3103,-1.9704,-3.8235,0.07414107834570083,0.9258589216542992
8.3342,-2.0255,-3.893,0.07189431091739051,0.9281056890826095
8.2169,-1.9369,-3.8211,0.07288550295367602,0.927114497046324
8.1738,-2.296,-3.5027,0.0710434484488972,0.9289565515511028
8.1427,-2.6528,-3.4812,0.06341354882537953,0.9365864511746205
8.1379,-2.5833,-3.4979,0.06439022486190693,0.9356097751380931
8.2552,-2.7509,-3.5075,0.06321641212607287,0.9367835878739271
8.4228,-2.7725,-3.644,0.0634221938137719,0.9365778061862281
8.3462,-2.5714,-3.6152,0.06654411244177627,0.9334558875582237
8.3414,-2.5618,-3.5985,0.06700802632085978,0.9329919736791402
8.3438,-2.5786,-3.5793,0.0671247220799609,0.9328752779200391
8.3629,-2.4493,-3.7589,0.06649210966776253,0.9335078903322375
8.406,-2.4636,-3.7254,0.06780799970477192,0.9321920002952281
8.3797,-2.5019,-3.778,0.06539388643859612,0.9346061135614039
8.5736,-2.3942,-3.8762,0.06967589372191219,0.9303241062780878
8.4539,-2.9736,-3.9073,0.05546857636921809,0.9445314236307819
8.169,-2.6863,-3.7326,0.05865468164773713,0.9413453183522629
8.2384,-2.7605,-3.6823,0.05950810787515415,0.9404918921248459
8.3797,-2.7198,-3.8116,0.060508924345393234,0.9394910756546068
8.0349,-2.7557,-3.7613,0.054551478964768974,0.945448521035231
8.339,-2.9281,-3.711,0.05777484289865664,0.9422251571013434
8.0038,-0.4788,-3.1149,0.1314564802857724,0.8685435197142276
8.7221,-2.6193,-3.2082,0.08369515617528922,0.9163048438247108
8.2528,-2.7773,-3.3591,0.06583907856935722,0.9341609214306428
8.3222,-2.8467,-3.2513,0.06809186216701946,0.9319081378329805
8.6311,-2.8994,-3.5386,0.06744440830187315,0.9325555916981269
7.8338,-2.8515,-3.3686,0.056271682036784454,0.9437283179632155
8.6574,-3.2633,-3.4429,0.06255913521413703,0.937440864785863
8.3821,-2.5762,-3.2681,0.07506220239060446,0.9249377976093955
9.1506,-1.8196,-3.7278,0.10375493733076935,0.8962450626692307
8.8083,-1.6472,-3.1077,0.11857155435788425,0.8814284456421158
8.7771,-1.6281,-3.0143,0.12144212481689887,0.8785578751831011
9.0237,-1.7334,-2.9209,0.13004825768384065,0.8699517423161593
8.928,-1.6209,-2.8611,0.1329728695263338,0.8670271304736662
9.007,-1.6975,-3.0742,0.12508985290890406,0.8749101470910959
8.8202,-1.6041,-3.1412,0.11936155809312121,0.8806384419068788
8.8466,-1.6185,-3.146,0.11962054666780142,0.8803794533321986
8.8394,-1.6089,-3.1388,0.11996408135435632,0.8800359186456437
8.7676,-1.6975,-3.3136,0.10866515787727493,0.8913348421227251
8.5641,-1.7095,-3.3926,0.09952051528552464,0.9004794847144754
